,,,,,,,,,,,,,,,,,,,LISTING PARTITIONS HMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITRE,AUTEUR,ARRANGEUR,Ref. Classement,Conducteur,Piccolo,Ptte flûte réb,Flûte 1,Flûte 2 ,Hautbois 1 ,Hautbois 2,Basson 1,Basson 2,Petite Clarinette Mib,Clarinette Alto,Clarinette Solo,Clarinette 1 Sib,Clarinette 2 Sib,Clarinette 3 Sib,Clarinette Basse,Sax. Soprano,Sax Alto 1,Sax Alto 2 ,Sax Alto 3 ,Sax Ténor 1 ,Sax Ténor 2,Sax Baryton,Sax Basse,Bugle 1,Bugle 2,Cornet 1,Cornet 2,Cornet 3,Trompette 1,Trompette 2,Trompette 3,Cor fa 1 + Mib,Cor fa 2 + Mib,Cor fa 3 + Mib,Cor fa 4 + Mib,Trombone Ut 1,Trombone Ut 2,Trombone Ut 3,Trombone Ut 4,Trombone Sib 1 clé fa,Trombone Sib2 Clé fa,Trombone Sib3 clé fa,Trombone Sib 4 clé fa,Trombone sib 1 clé sol,TromboneSib2 clé de sol,Trombone Sib 3 clé de sol,Tuba Ut clé de fa,Tuba sib clé de fa,Baryton sib clé de sol,Euphonium Ut clé de fa,Euph 1 Sib clé de fa + sol,Euphonium 2 Sib clé de fa,Basse Sib clé de fa,Basse Sib clé de sol,Contrebasse Sib clé de fa,Contrebasse Sib clé de sol,Contrebasse Mib clé de fa,Contrebasse Mib clé de sol,Contrebasse Ut clé de Fa,Batterie,Percussion 1,Percussion 2,Timbales,Divers,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La traviata (Mosaïque),Verdi,Bonnot,A 037,1,0,1,2,0,1,1,0,,2,,1,8,3,0,1,0,3,0,0,1,0,1,,1,1,0,0,0,4,2,1,1,1,0,0,1,1,2,,0,0,0,,0,0,0,0,,1+1,0,0,0,7,0,1,0,1,0,1,2,1,0,0,1bugle Solo,
Nabucco,Verdi,,A 038,1,0,1,5,0,1,0,0,,1,,3,9,8,6,0,0,6,0,0,2,0,1,,3,3,4,1,0,2,2,0,2,2,0,0,1,1,1,,2,0,0,,0,1,1,2+3,,2+2,0,0,0,0,2,2,0,2,0,1,2,1,0,1,,
Mireille Fantaisie,Gounod,Bonnelle,A 039,3,0,1,3,0,0,0,1,,1,,0,5,1,4,0,1,3,0,0,3,0,2,,2,2,2,3,0,1,0,0,2,2+1,0,0,1,1,,,2,0,0,,0,0,0,0,,1,0,0,0,5,1,0,0,1,0,1,0,1,0,1, Bugle Mib,
Mireille Ouverture,Gounod,Bonnelle,A 040,1,0,1,1,0,5,0,1,,4,,0,1,2,3,0,3,5,0,0,4,0,2,,3,1,5,3,0,2,0,0,0,2,5,2,3,1,2,,0,0,0,,0,0,0,0,,4,0,0,0,12,0,4,0,2,0,0,1,0,0,3,,
Traviata (Sélection),Verdi,,A 041,0,0,1,1,0,1,0,0,,1,,0,8,4,0,0,1,5,0,0,3,0,2,,2,1,6,3,0,0,0,0,2,1,0,0,2,3,1,,0,0,0,,0,0,0,0,,2+1,0,0,0,2+3,1,1,0,1,0,0,0,2,0,0,Bugle Mib,
Les pêcheurs de Perles,Bizet,L. Blemant,A 042,1,1,0,2,0,1,0,0,,1,,0,6,3,0,0,1,3,0,0,1,0,1,,1,3,4,0,0,1,0,0,3,0,1,0,1,1,2,,0,0,0,,0,0,0,0,,1,0,0,0,8,0,1,0,1,0,0,0,1,0,2,1 bugle Mib,
Symphonie Inachevée,Schubert,Fernand,A 043,F,0,0,2,0,3,0,2,,4,,1,14,8,0,0,1,2,2,0,3,0,2,,3,4,9,2,0,1,1,0,2,3,0,0,1,2,2,,0,0,0,,0,0,0,0,,1+1,0,0,0,1+6,0,2,0,1,0,0,0,0,0,2,1 bugle Mib + 1 Contrebass Reb,
Costa  del Sol,Darling,,A 044,1,0,1,4,0,2,0,0,,1,,0,9,8,0,0,1,4,0,0,2,0,1,,3,2,6,2,0,0,0,0,3,2,0,0,2,2,1,,0,0,0,,0,0,0,0,,1,1,0,0,2+6,0,0,0,1,0,0,1,1,0,0,,
Marche de Radzesky,Strauss,,A 045,0,0,3,14,0,0,0,0,,1,,0,22,31,0,0,0,16,0,0,8,0,3,,6,0,4,8,0,0,0,0,8,3,0,0,1,8,0,,0,0,0,,0,0,0,0,,4,0,0,0,0,2,5,0,1,0,0,2,3,0,0,,
Traviata ,Verdi,,A 046,0,0,1,4,0,2,0,1,,2,,1,8,4,1,0,1,4,0,0,2,0,2,,2,1,0,0,0,6,4,0,2,2,1,1,0,3,3,,0,0,0,,0,0,0,1+4,,2,2,0,0,0,0,0,0,5,0,0,0,1,1,0, 2 trp Mib,
L'arlésienne (2nde suite),Bizet / Chomel,,A 047,1,0,0,1,0,5,0,0,,0,,1,7,8,0,0,0,3,0,0,5,0,7,,5,1,0,0,0,5+4,7+2,0,2,0,0,0,1,1,0,,0,0,0,,0,0,0,0,,4+5,0,0,0,4+2,0,3,0,0,0,0,0,10,0,2,1 tromb 4,
L'arlésienne (1ere suite),Bizet / Chomel,,A 048,0,0,0,5,5,4,0,1,,2,,1,6,5,5,0,0,2,0,0,4,0,1,,7,4,8,4,0,6,6,0,2,5,0,0,5,4,4,,0,0,0,,0,0,0,0,,7,0,0,0,6+1,0,0,0,4,0,0,0,3,0,2,2 tromb 4,
Suite Ballet ,Popy,,A 049,0,0,1,3,0,2,0,0,,2,,1,7,3,0,0,1,4,0,0,3,0,2,,2,0,0,0,0,3,2,0,2,1,0,0,2,2,2,,0,0,0,,0,0,0,0,,1+1,0,0,0,7,1,0,0,1,0,1,1,1,0,1,1trpt Mib+ 2 trmb 4,
